target,lag_label,lags,n_lags,n_sessions,median_rank,mean_rank,median_observed_gain,mean_observed_gain,median_observed_minus_shuffle,mean_observed_minus_shuffle,min_fraction_above_shuffle,median_empirical_p,lag_order
active_unit_fraction,lag1,1,1,6,1.5,1.5,0.0402296137655402,0.031675950121739835,0.041819195281591254,0.03339506952474338,0.75,0.0196078431372549,0
active_unit_fraction,lag2,2,1,6,1.5,1.5,0.039394235241886955,0.03265728571896872,0.041184478498528854,0.03427817540716633,0.5,0.0196078431372549,1
active_unit_fraction,lag12,"1,2",2,6,1.5,1.5,0.05702536182838935,0.045585549804454346,0.060663026523522706,0.048931942532781714,0.75,0.0196078431372549,2
active_unit_fraction,lag123,"1,2,3",3,6,1.5,1.5,0.0628165373618477,0.05228448731355628,0.06805606155240435,0.05740351702980572,0.75,0.0196078431372549,3
active_unit_fraction,lag1234,"1,2,3,4",4,6,1.5,1.5,0.06938079214021425,0.054881054796676536,0.07679886510030706,0.06189027182419148,0.75,0.0196078431372549,4
population_mean_rate_hz,lag1,1,1,6,3.0,2.6666666666666665,0.02362162027275995,0.027922638432514982,0.02516653244346155,0.029503975766593787,0.75,0.0196078431372549,0
population_mean_rate_hz,lag2,2,1,6,3.0,2.8333333333333335,0.0272946371993141,0.0297514869605435,0.02879119002045695,0.03129864484254665,0.5,0.0196078431372549,1
population_mean_rate_hz,lag12,"1,2",2,6,3.0,2.8333333333333335,0.0338484193124088,0.0386965228353093,0.036938085938677104,0.0418704337424145,0.5,0.0196078431372549,2
population_mean_rate_hz,lag123,"1,2,3",3,6,3.0,2.6666666666666665,0.0393570276459204,0.04541849201905945,0.0441446105056541,0.05033275931429384,0.5,0.0196078431372549,3
population_mean_rate_hz,lag1234,"1,2,3,4",4,6,3.0,2.6666666666666665,0.0394149740053742,0.04598502874872932,0.04585491238284285,0.052558306665332837,0.75,0.0196078431372549,4
population_rate_entropy,lag1,1,1,6,2.0,1.8333333333333333,0.0365150259673917,0.03585786913087022,0.0381257997627281,0.037564088239239,1.0,0.0196078431372549,0
population_rate_entropy,lag2,2,1,6,2.0,1.8333333333333333,0.04367325769350345,0.03714547814183319,0.04568557207553195,0.03895889389535228,1.0,0.0196078431372549,1
population_rate_entropy,lag12,"1,2",2,6,2.0,1.8333333333333333,0.0591489059576586,0.051716627707074914,0.06256652521827624,0.055275425624316255,1.0,0.0196078431372549,2
population_rate_entropy,lag123,"1,2,3",3,6,2.0,1.8333333333333333,0.06901518833175985,0.05759464468072343,0.0746303316449752,0.06315077377746546,0.75,0.0196078431372549,3
population_rate_entropy,lag1234,"1,2,3,4",4,6,2.0,1.8333333333333333,0.0730957764329343,0.06404933903955261,0.0806837427451623,0.07129786644379595,1.0,0.0196078431372549,4
population_state_speed,lag1,1,1,6,4.0,4.0,0.00611509840315965,0.0064345737744000665,0.008241574868919,0.008801619542795533,0.75,0.029411764705882353,0
population_state_speed,lag2,2,1,6,4.0,3.8333333333333335,0.0036384065832588,-0.0014198321922102002,0.00581891504765835,0.0008906198173831833,0.25,0.07352941176470584,1
population_state_speed,lag12,"1,2",2,6,4.0,3.8333333333333335,0.00367560444846725,0.0020688169585344174,0.00833162017469325,0.006841987215718617,0.25,0.049019607843137254,2
population_state_speed,lag123,"1,2,3",3,6,4.0,4.0,0.00147264061724815,-0.0037254252867469835,0.00810094133352585,0.0034977562852170005,0.5,0.058823529411764705,3
population_state_speed,lag1234,"1,2,3,4",4,6,4.0,4.0,2.341209937979996e-05,-0.00793658217020615,0.0092432904180513,0.0017774298133597661,0.25,0.05392156862745095,4
