figure,description,source,run_note
real_allen_phi_neural_heatmap.png,Heatmap of median Phi_neural across the scaled real Allen v1 region-stimulus summaries.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_hrsm_axis_H.png,Heatmap of median H coordinate across region and stimulus-family summaries.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_hrsm_axis_R.png,Heatmap of median R coordinate across region and stimulus-family summaries.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_hrsm_axis_S.png,Heatmap of median S coordinate across region and stimulus-family summaries.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_hrsm_axis_M.png,Heatmap of median M coordinate across region and stimulus-family summaries.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_population_state_speed_heatmap.png,"Heatmap of mean population_state_speed, showing which region-stimulus blocks are dynamically more deforming.",real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_hr_phase_portrait.png,Scatter plot of H against R for region-stimulus HRSM summaries. Marker size reflects n_state_rows.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_sm_phase_portrait.png,Scatter plot of S against M for region-stimulus HRSM summaries. Marker size reflects n_state_rows.,real_neural_hrsm_domain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_memory_gain_bar.png,Bar chart of memory_gain_r2 from the real memory-kernel audit. Values near zero indicate weak or neutral lagged-history improvement.,real_memory_kernel_gain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_baseline_vs_memory_r2.png,Scatter plot comparing baseline R² and memory-model R². Points above the diagonal favor the memory model.,real_memory_kernel_gain_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_phi_neural_boxplot.png,Boxplot of bin-level Phi_neural distributions across region-stimulus blocks.,real_neural_hrsm_bin_level_metrics.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
real_allen_population_rate_bar.png,Bar chart of mean population firing rate by region and stimulus family.,population_state_summary.csv,"Scaled real Allen v1 visual story. HRSM axis separation is strong; memory gain is weak and mixed. Pooled memory summary: {'n_ok_groups': 4, 'median_baseline_r2': 0.1562782940884183, 'median_memory_r2': 0.1719593989310659, 'median_memory_gain_r2': 0.0088420696642697, 'mean_memory_gain_r2': 0.0112545025808952, 'fraction_positive_gain': 0.5}"
