session_id,region,stimulus_family,H,R,S,M,Phi_neural,n_state_rows,n_presentations,mean_population_rate_hz,mean_state_speed,mean_active_fraction,dominant_hrsm_domain,H_domain,R_domain,S_domain,M_domain,hrsm_domain,analysis_warning
715093703,CA1,drifting_gratings,1.5573925149737367,-1.0015136169398255,0.27929844242782287,-0.2665562709316307,-0.026361756215875193,15,3,13.786666666666667,24.88804604481208,0.52,high_mid_low_low,high,low,mid,low,high_low_mid_low,ok
715093703,CA1,natural_scenes,-0.11069895504886096,1.8049246586196497,0.519983346561557,0.4573728431364902,0.667895473317209,3,3,5.866666666666667,0.0,0.4666666666666666,mid_high_high_high,low,high,mid,high,low_high_mid_high,very_small_block
715093703,CA1,spontaneous,0.1510953753699143,0.6276464325223678,0.3156366993052108,0.07636075588260911,0.21217057297060973,24,3,7.566666666666666,8.154138034643365,0.42500000000000004,mid_low_high_mid,mid,low,mid,mid,mid_low_mid_mid,ok
715093703,LGd,drifting_gratings,0.5817308660559617,0.0656109174812326,0.19211428693479515,0.1494610243775807,0.28640928499814033,15,3,8.586666666666668,12.708165560916683,0.49333333333333335,high_high_mid_mid,mid,low,low,mid,mid_low_low_mid,ok
715093703,LGd,natural_scenes,-0.16460761755952377,1.8233545358969627,0.8024365936905037,0.5131814977123478,0.7429747561251326,3,3,4.0,0.0,0.7333333333333334,mid_high_high_high,low,high,high,high,low_high_high_high,very_small_block
715093703,LGd,spontaneous,-0.1351153436932619,0.6775358246917766,0.07109772727502556,-0.1104134740552872,-0.09442349504777878,24,3,4.183333333333333,9.553498399385866,0.48333333333333334,mid_low_low_low,low,mid,low,low,low_mid_low_low,ok
715093703,VISl,drifting_gratings,0.11974665807586793,1.2159838361408153,-0.18434092038346928,0.27937607048331975,0.29961325296922653,15,3,3.9733333333333336,6.987712154162726,0.4533333333333333,low_low_low_high,mid,mid,low,mid,mid_mid_low_mid,ok
715093703,VISl,natural_scenes,-0.03126410943912898,1.7777680869677353,0.6541186721836652,0.40329162941737323,0.7009785697824111,3,3,3.6,0.0,0.5333333333333333,mid_high_high_high,mid,high,high,high,mid_high_high_high,very_small_block
715093703,VISl,spontaneous,-0.6452558859070237,1.5930636606186674,0.5203490320694066,-0.36325146950095777,0.27787824088251845,24,3,1.2,2.9758979867620634,0.19166666666666668,low_high_high_low,low,high,high,low,low_high_high_low,ok
715093703,VISp,drifting_gratings,2.618508951907768,-1.9199328098298707,-0.4485924711718468,0.9243971464117084,0.3459312407249735,15,3,27.279999999999998,26.509980244707645,0.68,high_low_mid_high,high,low,low,high,high_low_low_high,ok
715093703,VISp,natural_scenes,1.0347231270051311,1.413336601713132,0.5343654906802832,-0.38519973764048415,0.6493063704395156,3,3,12.799999999999999,0.0,0.8666666666666667,high_high_high_mid,high,mid,high,low,high_mid_high_low,very_small_block
715093703,VISp,spontaneous,0.9290033431496609,1.192022596576376,0.5173671022458588,-0.09490010618745004,0.3227244199464795,24,3,9.733333333333333,4.908286780910039,0.35000000000000003,low_high_high_low,high,mid,mid,mid,high_mid_mid_mid,ok
